counter,phone_counter,userID,isLock,timestamp
56729,551,peppapig,1,1570341202
56730,552,peppapig,0,1570341202
56731,553,peppapig,1,1570341380
56732,554,peppapig,0,1570341380
56733,555,peppapig,1,1570341773
56734,556,peppapig,0,1570341914
56735,557,peppapig,1,1570341948
56736,558,peppapig,0,1570345353
56739,559,peppapig,1,1570346615
56740,560,peppapig,1,1570347960
56741,561,peppapig,1,1570347965
56742,562,peppapig,0,1570350096
56753,563,peppapig,1,1570350222
56754,564,peppapig,0,1570350670
56755,565,peppapig,1,1570350724
56756,566,peppapig,0,1570351489
56757,567,peppapig,1,1570351658
56758,568,peppapig,1,1570352107
56759,569,peppapig,1,1570352137
56760,570,peppapig,1,1570352151
56761,571,peppapig,0,1570352480
56762,572,peppapig,1,1570352662
56763,573,peppapig,1,1570353317
56768,574,peppapig,0,1570354999
56769,575,peppapig,1,1570355017
56770,576,peppapig,1,1570355513
56771,577,peppapig,0,1570356006
56772,578,peppapig,1,1570357223
56773,579,peppapig,0,1570360191
56787,580,peppapig,1,1570363408
56788,581,peppapig,0,1570363511
56807,582,peppapig,1,1570365950
56808,583,peppapig,0,1570366066
56809,584,peppapig,1,1570366465
56810,585,peppapig,0,1570366883
56811,586,peppapig,1,1570367004
56812,587,peppapig,0,1570367060
56813,588,peppapig,1,1570367458
56817,589,peppapig,0,1570370294
56818,590,peppapig,1,1570370339
56819,591,peppapig,1,1570371526
56820,592,peppapig,0,1570372347
56821,593,peppapig,1,1570372399
56822,594,peppapig,0,1570372404
56827,595,peppapig,1,1570373123
56828,596,peppapig,1,1570375631
56878,597,peppapig,0,1570378362
56879,598,peppapig,1,1570378777
56880,599,peppapig,0,1570379267
56881,600,peppapig,1,1570379487
56882,601,peppapig,1,1570383816
56883,602,peppapig,0,1570387026
56884,603,peppapig,1,1570388441
56885,604,peppapig,1,1570397005
56886,605,peppapig,0,1570400703
56887,606,peppapig,1,1570400714
56892,607,peppapig,0,1570421868
56893,608,peppapig,1,1570421896
56925,609,peppapig,0,1570430834
56926,610,peppapig,1,1570431817
56927,611,peppapig,1,1570431936
56928,612,peppapig,1,1570431998
56929,613,peppapig,0,1570432057
56930,614,peppapig,1,1570435499
56931,615,peppapig,0,1570435607
56952,616,peppapig,1,1570436491
56953,617,peppapig,0,1570439595
56954,618,peppapig,1,1570439600
56955,619,peppapig,0,1570439619
56956,620,peppapig,1,1570439765
56957,621,peppapig,0,1570439767
56972,622,peppapig,1,1570439992
56973,623,peppapig,0,1570440112
56974,624,peppapig,1,1570440335
56975,625,peppapig,0,1570440357
56976,626,peppapig,1,1570440594
56977,627,peppapig,0,1570441108
56978,628,peppapig,1,1570441111
56979,629,peppapig,1,1570441920
56980,630,peppapig,0,1570442444
56981,631,peppapig,1,1570442462
